Date,Shooting Team,Shooter Name,Shooter ID,Shot Number,Quarter,Left Position,Top Position,Home Team,Away Team,Shot Status,Three Pointer,Assists,Text
"February 16, 2017",home,Jeremy Jones missed Layu,3947137,79,2,0.92,0.44,Gonzaga,San Francisco,0,0,0,Jeremy Jones missed Layup.
"February 16, 2017",home,Rui Hachimura missed Three Point Jumpe,4066648,80,2,0.94,0.94,Gonzaga,San Francisco,0,0,0,Rui Hachimura missed Three Point Jumper.
"February 16, 2017",home,Jeremy Jones missed Layu,3947137,81,2,0.94,0.4,Gonzaga,San Francisco,0,0,0,Jeremy Jones missed Layup.
"February 16, 2017",home,Silas Melson missed Layu,3155940,82,2,0.9,0.52,Gonzaga,San Francisco,0,0,0,Silas Melson missed Layup.
"February 16, 2017",home,Ryan Edwards,66457,83,2,0.91,0.6,Gonzaga,San Francisco,1,0,0,Ryan Edwards made Jumper.
"February 16, 2017",home,Jeremy Jones,3947137,84,2,0.91,0.5,Gonzaga,San Francisco,1,0,0,Jeremy Jones made Dunk.
"February 16, 2017",home,Josh Perkins,3155941,85,2,0.91,0.56,Gonzaga,San Francisco,1,0,0,Josh Perkins made Layup.
"February 16, 2017",home,Ryan Edwards missed Jumpe,66457,86,2,0.86,0.48,Gonzaga,San Francisco,0,0,0,Ryan Edwards missed Jumper.
"February 16, 2017",home,Ryan Edwards,66457,87,2,0.92,0.54,Gonzaga,San Francisco,1,0,0,Ryan Edwards made Layup.
"February 16, 2017",home,Jeremy Jones missed Jumpe,3947137,92,2,0.9,0.18,Gonzaga,San Francisco,0,0,0,Jeremy Jones missed Jumper.
"February 16, 2017",away,Jordan Ratinho,4066752,0,1,0.16,0.4,Gonzaga,San Francisco,1,0,0,Jordan Ratinho made Jumper.
"February 16, 2017",away,Matt McCarthy missed Jumpe,3918787,1,1,0.09,0.58,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Jumper.
"February 16, 2017",away,Mladen Djordjevic,3918791,2,1,0.06,0.56,Gonzaga,San Francisco,1,0,0,Mladen Djordjevic made Layup. Assisted by Nate Renfro.
"February 16, 2017",away,Matt McCarthy,3918787,3,1,0.08,0.42,Gonzaga,San Francisco,1,0,0,Matt McCarthy made Layup.
"February 16, 2017",away,Jordan Ratinho missed Layu,4066752,4,1,0.07,0.58,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Layup.
"February 16, 2017",away,Matt McCarthy missed Jumpe,3918787,5,1,0.09,0.58,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Jumper.
"February 16, 2017",away,Nate Renfro missed Three Point Jumpe,3918790,6,1,0.19,0.92,Gonzaga,San Francisco,0,0,0,Nate Renfro missed Three Point Jumper.
"February 16, 2017",away,Jordan Ratinho,4066752,7,1,0.06,0.03,Gonzaga,San Francisco,1,0,0,Jordan Ratinho made Three Point Jumper. Assisted by Nate Renfro.
"February 16, 2017",away,Jordan Ratinho missed Jumpe,4066752,8,1,0.11,0.36,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Jumper.
"February 16, 2017",away,Jimbo Lull,4066748,9,1,0.3,0.56,Gonzaga,San Francisco,1,0,0,Jimbo Lull made Three Point Jumper. Assisted by Chase Foster.
"February 16, 2017",away,Chase Foster,3136525,10,1,0.04,0.54,Gonzaga,San Francisco,1,0,0,Chase Foster made Dunk. Assisted by Mladen Djordjevic.
"February 16, 2017",away,Ronnie Boyce,3918785,11,1,0.04,0.56,Gonzaga,San Francisco,1,0,0,Ronnie Boyce made Layup.
"February 16, 2017",away,Jimbo Lull missed Layu,4066748,12,1,0.04,0.56,Gonzaga,San Francisco,0,0,0,Jimbo Lull missed Layup.
"February 16, 2017",away,Ronnie Boyce,3918785,13,1,0.12,0.36,Gonzaga,San Francisco,1,0,0,Ronnie Boyce made Jumper.
"February 16, 2017",away,Ronnie Boyce missed Three Point Jumpe,3918785,14,1,0.23,0.1,Gonzaga,San Francisco,0,0,0,Ronnie Boyce missed Three Point Jumper.
"February 16, 2017",away,Chase Foster,3136525,15,1,0.33,0.48,Gonzaga,San Francisco,1,0,0,Chase Foster made Three Point Jumper. Assisted by Ronnie Boyce.
"February 16, 2017",away,Charles Minlend missed Jumpe,4066751,16,1,0.17,0.68,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Jumper.
"February 16, 2017",away,Jimbo Lull missed Three Point Jumpe,4066748,19,1,0.3,0.42,Gonzaga,San Francisco,0,0,0,Jimbo Lull missed Three Point Jumper.
"February 16, 2017",away,Charles Minlend,4066751,20,1,0.23,0.88,Gonzaga,San Francisco,1,0,0,Charles Minlend made Three Point Jumper. Assisted by Matt McCarthy.
"February 16, 2017",away,Remu Raitanen missed Three Point Jumpe,4066749,21,1,0.27,0.66,Gonzaga,San Francisco,0,0,0,Remu Raitanen missed Three Point Jumper.
"February 16, 2017",away,Matt McCarthy missed Two Point Tip Sho,3918787,22,1,0.07,0.52,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Two Point Tip Shot.
"February 16, 2017",away,Jordan Ratinho,4066752,23,1,0.1,0.62,Gonzaga,San Francisco,1,0,0,Jordan Ratinho made Jumper.
"February 16, 2017",away,Ronnie Boyce,3918785,24,1,0.12,0.34,Gonzaga,San Francisco,1,0,0,Ronnie Boyce made Jumper.
"February 16, 2017",away,Chase Foster missed Three Point Jumpe,3136525,25,1,0.21,0.82,Gonzaga,San Francisco,0,0,0,Chase Foster missed Three Point Jumper.
"February 16, 2017",away,Chase Foster,3136525,26,1,0.26,0.82,Gonzaga,San Francisco,1,0,0,Chase Foster made Three Point Jumper. Assisted by Nate Renfro.
"February 16, 2017",away,Chase Foster,3136525,27,1,0.04,0.56,Gonzaga,San Francisco,1,0,0,Chase Foster made Layup. Assisted by Ronnie Boyce.
"February 16, 2017",away,Ronnie Boyce missed Three Point Jumpe,3918785,29,1,0.17,0.06,Gonzaga,San Francisco,0,0,0,Ronnie Boyce missed Three Point Jumper.
"February 16, 2017",away,Jordan Ratinho missed Jumpe,4066752,30,1,0.12,0.32,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Jumper.
"February 16, 2017",away,Nate Renfro missed Layu,3918790,31,2,0.04,0.58,Gonzaga,San Francisco,0,0,0,Nate Renfro missed Layup.
"February 16, 2017",away,Matt McCarthy missed Layu,3918787,32,2,0.06,0.56,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Layup.
"February 16, 2017",away,Matt McCarthy missed Three Point Jumpe,3918787,33,2,0.29,0.42,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Three Point Jumper.
"February 16, 2017",away,Charles Minlend,4066751,34,2,0.1,0.6,Gonzaga,San Francisco,1,0,0,Charles Minlend made Jumper.
"February 16, 2017",away,Charles Minlend missed Jumpe,4066751,35,2,0.2,0.32,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Jumper.
"February 16, 2017",away,Jordan Ratinho missed Layu,4066752,36,2,0.06,0.4,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Layup.
"February 16, 2017",away,Charles Minlend missed Layu,4066751,39,2,0.07,0.56,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Layup.
"February 16, 2017",away,Ronnie Boyce,3918785,40,2,0.06,0.58,Gonzaga,San Francisco,1,0,0,Ronnie Boyce made Layup.
"February 16, 2017",away,Matt McCarthy,3918787,41,2,0.09,0.06,Gonzaga,San Francisco,1,0,0,Matt McCarthy made Three Point Jumper. Assisted by Nate Renfro.
"February 16, 2017",away,Chase Foster missed Layu,3136525,42,2,0.06,0.56,Gonzaga,San Francisco,0,0,0,Chase Foster missed Layup.
"February 16, 2017",away,Charles Minlend missed Three Point Jumpe,4066751,43,2,0.24,0.86,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Three Point Jumper.
"February 16, 2017",away,Matt McCarthy,3918787,46,2,0.11,0.08,Gonzaga,San Francisco,1,0,0,Matt McCarthy made Three Point Jumper. Assisted by Jordan Ratinho.
"February 16, 2017",away,Remu Raitanen missed Three Point Jumpe,4066749,47,2,0.3,0.48,Gonzaga,San Francisco,0,0,0,Remu Raitanen missed Three Point Jumper.
"February 16, 2017",away,Jordan Ratinho missed Three Point Jumpe,4066752,48,2,0.31,0.46,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Three Point Jumper.
"February 16, 2017",away,Charles Minlend missed Layu,4066751,49,2,0.06,0.42,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Layup.
"February 16, 2017",away,Charles Minlend missed Jumpe,4066751,50,2,0.11,0.42,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Jumper.
"February 16, 2017",away,Matt McCarthy missed Two Point Tip Sho,3918787,51,2,0.06,0.5,Gonzaga,San Francisco,0,0,0,Matt McCarthy missed Two Point Tip Shot.
"February 16, 2017",away,Ronnie Boyce missed Three Point Jumpe,3918785,52,2,0.32,0.56,Gonzaga,San Francisco,0,0,0,Ronnie Boyce missed Three Point Jumper.
"February 16, 2017",away,Ronnie Boyce,3918785,53,2,0.09,0.54,Gonzaga,San Francisco,1,0,0,Ronnie Boyce made Jumper.
"February 16, 2017",away,Jordan Ratinho missed Three Point Jumpe,4066752,55,2,0.14,0.08,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Three Point Jumper.
"February 16, 2017",away,Chase Foster missed Layu,3136525,56,2,0.07,0.52,Gonzaga,San Francisco,0,0,0,Chase Foster missed Layup.
"February 16, 2017",away,Chase Foster,3136525,57,2,0.06,0.54,Gonzaga,San Francisco,1,0,0,Chase Foster made Layup. Assisted by Nate Renfro.
"February 16, 2017",away,Frankie Ferrari missed Jumpe,3136523,58,2,0.2,0.62,Gonzaga,San Francisco,0,0,0,Frankie Ferrari missed Jumper.
"February 16, 2017",away,Charles Minlend missed Three Point Jumpe,4066751,59,2,0.07,0.06,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Three Point Jumper.
"February 16, 2017",away,Charles Minlend missed Jumpe,4066751,62,2,0.14,0.44,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Jumper.
"February 16, 2017",away,Jimbo Lull missed Two Point Tip Sho,4066748,63,2,0.06,0.5,Gonzaga,San Francisco,0,0,0,Jimbo Lull missed Two Point Tip Shot.
"February 16, 2017",away,Charles Minlend missed Layu,4066751,64,2,0.06,0.54,Gonzaga,San Francisco,0,0,0,Charles Minlend missed Layup.
"February 16, 2017",away,Jordan Ratinho missed Layu,4066752,65,2,0.08,0.56,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Layup.
"February 16, 2017",away,Jordan Ratinho missed Three Point Jumpe,4066752,66,2,0.08,0.06,Gonzaga,San Francisco,0,0,0,Jordan Ratinho missed Three Point Jumper.
"February 16, 2017",away,Remu Raitanen missed Three Point Jumpe,4066749,67,2,0.06,0.94,Gonzaga,San Francisco,0,0,0,Remu Raitanen missed Three Point Jumper.
"February 16, 2017",away,Remu Raitanen,4066749,68,2,0.04,0.54,Gonzaga,San Francisco,1,0,0,Remu Raitanen made Layup.
"February 16, 2017",away,Marquill Smith missed Three Point Jumpe,3918788,69,2,0.23,0.9,Gonzaga,San Francisco,0,0,0,Marquill Smith missed Three Point Jumper.
"February 16, 2017",away,Chase Foster,3136525,70,2,0.07,0.54,Gonzaga,San Francisco,1,0,0,Chase Foster made Layup. Assisted by Remu Raitanen.
"February 16, 2017",away,Marquill Smith missed Three Point Jumpe,3918788,73,2,0.24,0.9,Gonzaga,San Francisco,0,0,0,Marquill Smith missed Three Point Jumper.
"February 16, 2017",home,Conor Clifford missed Jumpe,62540,0,1,0.92,0.42,Washington State,Arizona,0,0,0,Conor Clifford missed Jumper.
"February 16, 2017",home,Charles Callison,3922233,1,1,0.94,0.54,Washington State,Arizona,1,0,0,Charles Callison made Layup. Assisted by Malachi Flynn.
"February 16, 2017",home,Charles Callison,3922233,2,1,0.92,0.46,Washington State,Arizona,1,0,0,Charles Callison made Layup. Assisted by Ike Iroegbu.
"February 16, 2017",home,Josh Hawkinson,66237,3,1,0.87,0.44,Washington State,Arizona,1,0,0,Josh Hawkinson made Jumper. Assisted by Ike Iroegbu.
"February 16, 2017",home,Josh Hawkinson missed Three Point Jumpe,66237,4,1,0.88,0.94,Washington State,Arizona,0,0,0,Josh Hawkinson missed Three Point Jumper.
"February 16, 2017",home,Ike Iroegbu,66238,5,1,0.89,0.4,Washington State,Arizona,1,0,0,Ike Iroegbu made Jumper.
"February 16, 2017",home,Malachi Flynn,4066668,6,1,0.79,0.1,Washington State,Arizona,1,0,0,Malachi Flynn made Three Point Jumper. Assisted by Charles Callison.
"February 16, 2017",home,Ike Iroegbu missed Layu,66238,7,1,0.91,0.56,Washington State,Arizona,0,0,0,Ike Iroegbu missed Layup.
"February 16, 2017",home,Charles Callison,3922233,8,1,0.72,0.58,Washington State,Arizona,1,0,0,Charles Callison made Jumper.
"February 16, 2017",home,Malachi Flynn missed Three Point Jumpe,4066668,9,1,0.87,0.08,Washington State,Arizona,0,0,0,Malachi Flynn missed Three Point Jumper.
"February 16, 2017",home,Charles Callison missed Jumpe,3922233,10,1,0.82,0.18,Washington State,Arizona,0,0,0,Charles Callison missed Jumper.
"February 16, 2017",home,Josh Hawkinson,66237,11,1,0.75,0.5,Washington State,Arizona,1,0,0,Josh Hawkinson made Jumper. Assisted by Viont'e Daniels.
"February 16, 2017",home,Josh Hawkinson missed Jumpe,66237,12,1,0.81,0.52,Washington State,Arizona,0,0,0,Josh Hawkinson missed Jumper.
"February 16, 2017",home,Malachi Flynn,4066668,13,1,0.66,0.56,Washington State,Arizona,1,0,0,Malachi Flynn made Three Point Jumper. Assisted by Viont'e Daniels.
"February 16, 2017",home,Robert Franks,3922235,14,1,0.76,0.84,Washington State,Arizona,1,0,0,Robert Franks made Three Point Jumper. Assisted by Jeff Pollard.
"February 16, 2017",home,Charles Callison missed Three Point Jumpe,3922233,15,1,0.7,0.66,Washington State,Arizona,0,0,0,Charles Callison missed Three Point Jumper.
"February 16, 2017",home,Ike Iroegbu,66238,16,1,0.91,0.54,Washington State,Arizona,1,0,0,Ike Iroegbu made Layup.
"February 16, 2017",home,Robert Franks,3922235,17,1,0.92,0.42,Washington State,Arizona,1,0,0,Robert Franks made Layup.
"February 16, 2017",home,Robert Franks missed Three Point Jumpe,3922235,18,1,0.69,0.48,Washington State,Arizona,0,0,0,Robert Franks missed Three Point Jumper.
"February 16, 2017",home,Charles Callison,3922233,21,1,0.77,0.36,Washington State,Arizona,1,0,0,Charles Callison made Jumper.
"February 16, 2017",home,Malachi Flynn missed Three Point Jumpe,4066668,22,1,0.69,0.2,Washington State,Arizona,0,0,0,Malachi Flynn missed Three Point Jumper.
"February 16, 2017",home,Ike Iroegbu missed Layu,66238,23,1,0.92,0.48,Washington State,Arizona,0,0,0,Ike Iroegbu missed Layup.
"February 16, 2017",home,Josh Hawkinson missed Jumpe,66237,24,1,0.86,0.46,Washington State,Arizona,0,0,0,Josh Hawkinson missed Jumper.
"February 16, 2017",home,Ike Iroegbu,66238,25,1,0.91,0.56,Washington State,Arizona,1,0,0,Ike Iroegbu made Layup.
"February 16, 2017",home,Josh Hawkinson missed Jumpe,66237,26,1,0.9,0.46,Washington State,Arizona,0,0,0,Josh Hawkinson missed Jumper.
"February 16, 2017",home,Charles Callison missed Layu,3922233,27,1,0.91,0.46,Washington State,Arizona,0,0,0,Charles Callison missed Layup.
"February 16, 2017",home,Josh Hawkinson missed Jumpe,66237,28,1,0.85,0.56,Washington State,Arizona,0,0,0,Josh Hawkinson missed Jumper.
"February 16, 2017",home,Jeff Pollard missed Layu,4066667,29,1,0.91,0.48,Washington State,Arizona,0,0,0,Jeff Pollard missed Layup.
"February 16, 2017",home,Charles Callison missed Three Point Jumpe,3922233,32,2,0.79,0.1,Washington State,Arizona,0,0,0,Charles Callison missed Three Point Jumper.
"February 16, 2017",home,Josh Hawkinson,66237,33,2,0.92,0.06,Washington State,Arizona,1,0,0,Josh Hawkinson made Three Point Jumper. Assisted by Ike Iroegbu.
"February 16, 2017",home,Conor Clifford missed Jumpe,62540,34,2,0.86,0.54,Washington State,Arizona,0,0,0,Conor Clifford missed Jumper.
"February 16, 2017",home,Malachi Flynn,4066668,35,2,0.82,0.9,Washington State,Arizona,1,0,0,Malachi Flynn made Three Point Jumper. Assisted by Ike Iroegbu.
"February 16, 2017",home,Malachi Flynn missed Jumpe,4066668,36,2,0.84,0.7,Washington State,Arizona,0,0,0,Malachi Flynn missed Jumper.
"February 16, 2017",home,Ike Iroegbu,66238,37,2,0.92,0.58,Washington State,Arizona,1,0,0,Ike Iroegbu made Jumper.
"February 16, 2017",home,Ike Iroegbu missed Dun,66238,39,2,0.91,0.5,Washington State,Arizona,0,0,0,Ike Iroegbu missed Dunk.
"February 16, 2017",home,Robert Franks,3922235,40,2,0.91,0.46,Washington State,Arizona,1,0,0,Robert Franks made Dunk. Assisted by Ike Iroegbu.
"February 16, 2017",home,Josh Hawkinson missed Jumpe,66237,41,2,0.75,0.46,Washington State,Arizona,0,0,0,Josh Hawkinson missed Jumper.
"February 16, 2017",home,Malachi Flynn missed Three Point Jumpe,4066668,42,2,0.87,0.06,Washington State,Arizona,0,0,0,Malachi Flynn missed Three Point Jumper.
"February 16, 2017",home,Ike Iroegbu missed Layu,66238,43,2,0.92,0.52,Washington State,Arizona,0,0,0,Ike Iroegbu missed Layup.
"February 16, 2017",home,Charles Callison missed Layu,3922233,44,2,0.91,0.54,Washington State,Arizona,0,0,0,Charles Callison missed Layup.
"February 16, 2017",home,Conor Clifford missed Layu,62540,45,2,0.91,0.44,Washington State,Arizona,0,0,0,Conor Clifford missed Layup.
"February 16, 2017",home,Ike Iroegbu,66238,46,2,0.91,0.52,Washington State,Arizona,1,0,0,Ike Iroegbu made Layup.
"February 16, 2017",home,Conor Clifford missed Jumpe,62540,48,2,0.86,0.48,Washington State,Arizona,0,0,0,Conor Clifford missed Jumper.
"February 16, 2017",home,Ike Iroegbu missed Layu,66238,49,2,0.94,0.54,Washington State,Arizona,0,0,0,Ike Iroegbu missed Layup.
"February 16, 2017",home,Ike Iroegbu,66238,50,2,0.92,0.56,Washington State,Arizona,1,0,0,Ike Iroegbu made Layup.
"February 16, 2017",home,Robert Franks,3922235,52,2,0.91,0.46,Washington State,Arizona,1,0,0,Robert Franks made Layup.
"February 16, 2017",home,Ike Iroegbu,66238,53,2,0.92,0.56,Washington State,Arizona,1,0,0,Ike Iroegbu made Layup.
"February 16, 2017",home,Viont'e Daniels,3922234,54,2,0.92,0.56,Washington State,Arizona,1,0,0,Viont'e Daniels made Layup.
"February 16, 2017",home,KJ Langston,4066665,56,2,0.92,0.86,Washington State,Arizona,1,0,0,KJ Langston made Jumper.
"February 16, 2017",home,Robert Franks missed Three Point Jumpe,3922235,59,2,0.71,0.28,Washington State,Arizona,0,0,0,Robert Franks missed Three Point Jumper.
"February 16, 2017",home,Robert Franks,3922235,60,2,0.9,0.48,Washington State,Arizona,1,0,0,Robert Franks made Jumper. Assisted by Charles Callison.
